top - 14:05:30 up  2:54,  2 users,  load average: 10,58, 9,92, 6,29
Tasks: 447 total,  16 running, 424 sleeping,   7 stopped,   0 zombie
%Cpu(s): 57,4 us, 41,8 sy,  0,3 ni,  0,3 id,  0,0 wa,  0,3 hi,  0,0 si,  0,0 st 
MiB Mem :  15337,5 total,    453,6 free,   9179,9 used,   6532,0 buff/cache     
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6157,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    142 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    143 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    144 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    145 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    146 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    147 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    149 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    151 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    154 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker+
    159 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    161 root      20   0       0      0      0 I   0,0   0,0   0:00.10 kworker+
    162 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker+
    166 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    172 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/28-+
    173 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/29-+
    174 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/30-+
    175 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/31-+
    176 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/32-+
    177 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/33-+
    178 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/34-+
    179 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/35-+
    180 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/36-+
    181 root     -51   0       0      0      0 S   0,0   0,0  57:50.74 irq/37-+
    182 root     -51   0       0      0      0 S   0,0   0,0   0:00.01 irq/38-+
    183 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker+
    185 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker+
    187 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker+
    188 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker+
    225 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker+
    230 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    237 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker+
    256 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker+
    261 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker+
    329 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker+
    331 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    333 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker+
